group,id,missingKeys,uniqueKeys,emptyKeys
whole-path,/v2/batchpayments/{batchPaymentId}#get,,,consumes
whole-path,/v2/batchpayments/{batchPaymentId}/entries#get,,,consumes
whole-path,/v2/batchpayments#post,,,
whole-path,/v2/cardproxies/{cardProxy}#get,,,consumes
whole-path,/v2/cardproxies/{cardProxy}#delete,,,consumes
whole-path,/v2/cardproxies/{cardProxy}/pricing#get,,,consumes
whole-path,/v2/cardproxies#post,,,
whole-path,/v2/customers/{customerReference}#get,,,consumes
whole-path,/v2/customers/{customerReference}/status#get,,,consumes
whole-path,/v2/customers/{customerReference}/status#put,,,
whole-path,/v2/customers/{customerReference}/account#get,,,consumes
whole-path,/v2/customers/{customerReference}/account#put,,,
whole-path,/v2/customers/{customerReference}/profile#get,,,consumes
whole-path,/v2/customers/{customerReference}/profile#put,,,
whole-path,/v2/customers/{customerReference}/paymentOption#get,,,consumes
whole-path,/v2/customers/{customerReference}/paymentOption#put,,,
whole-path,/v2/customers#get,,,consumes
whole-path,/v2/customers#post,,,
whole-path,/v2/customers/{customerReference}/customerReference#put,,,
whole-path,/v2/diagnostics/ping#get,parameters,,consumes
whole-path,/v2/payments/{paymentReference}#get,,,consumes
whole-path,/v2/payments/uniqueId/{merchantUniqueId}#get,,,consumes
whole-path,/v2/payments/{paymentReference}/refundrequests#get,,,consumes
whole-path,/v2/payments/{paymentReference}/refundrequests#post,,,
whole-path,/v2/payments/uniqueId/{paymentReference}/refundrequests/{refundRequestUniqueId}#get,,,summary;consumes
whole-path,/v2/payments#get,summary,,consumes
whole-path,/v2/payments#post,,,
whole-path,/v2/preauths/{preauthReference}#get,summary,,consumes
whole-path,/v2/preauths#get,summary,,consumes
whole-path,/v2/preauths#post,summary,,
whole-path,/v2/preauths/{preauthReference}/voids#put,summary,,consumes
whole-path,/v2/preauths/{preauthReference}/captures#post,summary,,
whole-path,/v2/proxies/{proxy}/pricing#get,,,consumes
whole-path,/v2/requestpays/{requestPayId}#get,,,consumes
whole-path,/v2/requestpays/{requestPayId}/entries#get,,,consumes
whole-path,/v2/requestpays#post,,,
whole-def,ApiBatchPaySummary,required,,
whole-def,ApiBatchPayEntry,required,,
whole-def,BatchPaymentRequest,,,
whole-def,BatchPaymentDataRecord,,,
whole-def,BatchPaymentResponse,required,,
whole-def,AmbiguousResult,required,,description;properties
whole-def,ModelState,required,,
whole-def,ValueProviderResult,required,,
whole-def,ModelError,required,,
whole-def,InternalServerErrorResult,required,,
whole-def,TokenResponse,required,,
whole-def,PricingResponse,required,,
whole-def,Pricing,required,,
whole-def,CardProxyRequest,,,
whole-def,ThreeDSecureData,description;required,,
whole-def,ThreeDSecureBrowserData,description;required,,
whole-def,CardProxyResponse,required,,
whole-def,PreconditionFailedResponse,description;required,,
whole-def,CustomerResponse,required,,
whole-def,CustomerProfile,description;required,,
whole-def,CustomerAccountResponse,description;required,,
whole-def,CustomerPaymentOption,description,,
whole-def,CustomerAddress,,,
whole-def,BankAccount,,,
whole-def,CreditCard,description;required,,
whole-def,PayIdDetail,description;required,,
whole-def,BPayDetail,description;required,,
whole-def,CustomerStatusRequest,required,,
whole-def,CustomerAccountRequest,required,,
whole-def,CreditCardProxy,,,
whole-def,AccountProxy,,,
whole-def,ICustomerProfie,description;required,,
whole-def,CustomerProfileRequest,description,,
whole-def,NewCustomer,,,
whole-def,AdditionalReference,description;required,,
whole-def,NewCustomerResponse,,,
whole-def,PingResponse,required,,
whole-def,PaymentResponse,required,,
whole-def,SettlementPayment,description;required,,
whole-def,SubPayment,description;required,,
whole-def,RefundResponse,required,,
whole-def,RefundRequest,,,
whole-def,PaymentRequest,,,
whole-def,PaymentCard,description,,
whole-def,PreauthResponse,required,,
whole-def,PreauthRequest,description,,
whole-def,VoidCardResponse,required,,
whole-def,CaptureCardRequest,description,,
whole-def,CaptureCardResponse,required,,
whole-def,ApiRequestPaySummary,required,,
whole-def,ApiRequestPayEntry,required,,
whole-def,RequestPayRequest,,,
whole-def,RequestPayRequestRecord,,,
whole-def,RequestPayResponse,required,,
